NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
1433/0W/2018,07.11.2018,4.6,Mg.,0,12807,34784,531
429/1W/2018,16.10.2018,17.7,Mg.,1,6827,34373,531
430/1W/2018,26.09.2018,1.19,Mg.,1,10347,34374,626
1115/0W/2018,16.08.2018,24.06,Mg.,0,2001,34375,579
1116/0W/2018,20.08.2018,22.06,Mg.,0,2001,34376,345
1117/0W/2018,21.08.2018,23.56,Mg.,0,2001,34377,575
1118/0W/2018,21.08.2018,24.54,Mg.,0,2001,34378,531
1119/0W/2018,23.08.2018,21.7,Mg.,0,2001,34379,582
1120/0W/2018,24.08.2018,24.9,Mg.,0,2001,34380,531
1121/0W/2018,25.08.2018,23.16,Mg.,0,2001,34381,572
1122/0W/2018,28.08.2018,23.56,Mg.,0,2001,34382,564
1123/0W/2018,28.08.2018,24.1,Mg.,0,2001,34383,572
1124/0W/2018,28.08.2018,0.0,Mg.,0,2001,34384,531
1125/0W/2018,29.08.2018,22.76,Mg.,0,2001,34385,573
1126/0W/2018,30.08.2018,21.66,Mg.,0,2001,34386,528
864/0W/2018,08.08.2018,0.9,Mg.,0,16949,34009,529
316/1W/2018,10.08.2018,7.0,Mg.,1,2594,34010,576
865/0W/2018,01.08.2018,15.0,Mg.,0,827,34011,572
866/0W/2018,06.08.2018,15.0,Mg.,0,827,34012,565
867/0W/2018,06.08.2018,20.0,Mg.,0,827,34013,531
868/0W/2018,09.08.2018,15.0,Mg.,0,827,34014,566
1434/0W/2018,08.11.2018,2.96,Mg.,0,12807,34785,565
869/0W/2018,13.08.2018,0.0,Mg.,0,17368,34015,531
870/0W/2018,13.08.2018,24.34,Mg.,0,11299,34016,565
871/0W/2018,13.08.2018,7.03,Mg.,0,17368,34017,531
872/0W/2018,13.08.2018,3.42,Mg.,0,13771,34018,576
873/0W/2018,13.08.2018,6.34,Mg.,0,13771,34019,531
317/1W/2018,26.07.2018,0.27,Mg.,1,396,34020,575
318/1W/2018,26.07.2018,0.18,Mg.,1,396,34021,681
874/0W/2018,17.07.2018,0.105,Mg.,0,18185,34022,626
875/0W/2018,13.08.2018,12.0,Mg.,0,14173,34023,680
876/0W/2018,17.07.2018,0.035,Mg.,0,18185,34024,594
877/0W/2018,17.07.2018,0.12,Mg.,0,18185,34025,579
